estação,data,duração,X,Y,Z,sigmaX,sigmaY,sigmaZ,IAR
AMCR,18,15,2874244.4298,-5675803.2111,-451414.4953,0.2659,0.2681,0.1032,
AMCR,18,30,2874244.3750,-5675803.3338,-451414.5481,0.1062,0.1107,0.0444,
AMCR,18,45,2874244.4226,-5675803.3169,-451414.5281,0.0704,0.0704,0.0293,
AMCR,18,60,2874244.4229,-5675803.3069,-451414.5216,0.0550,0.0504,0.0204,
AMCR,18,120,2874244.4161,-5675803.2983,-451414.5290,0.0237,0.0221,0.0068,
AMCR,19,15,2874244.5298,-5675803.2817,-451414.5285,0.3002,0.3135,0.1295,
AMCR,19,30,2874244.5033,-5675803.2208,-451414.5322,0.1219,0.1313,0.0572,
AMCR,19,45,2874244.4841,-5675803.2453,-451414.5317,0.0833,0.0917,0.0458,
AMCR,19,60,2874244.4505,-5675803.2648,-451414.5281,0.0608,0.0628,0.0323,
AMCR,19,120,2874244.4321,-5675803.2684,-451414.5288,0.0233,0.0232,0.0087,
AMCR,20,15,2874244.3884,-5675803.3142,-451414.5843,0.4727,0.5072,0.2496,
AMCR,20,30,2874244.4515,-5675803.2650,-451414.5277,0.1717,0.2030,0.1075,
AMCR,20,45,2874244.4458,-5675803.2834,-451414.5296,0.0956,0.1087,0.0600,
AMCR,20,60,2874244.4364,-5675803.2845,-451414.5351,0.0637,0.0696,0.0347,
AMCR,20,120,2874244.4163,-5675803.2931,-451414.5297,0.0249,0.0284,0.0095,
AMCR,21,15,2874244.3485,-5675803.3473,-451414.5811,0.3381,0.3265,0.1157,
AMCR,21,30,2874244.3705,-5675803.3339,-451414.5197,0.1407,0.1399,0.0515,
AMCR,21,45,2874244.4106,-5675803.3296,-451414.5393,0.0948,0.0986,0.0329,
AMCR,21,60,2874244.4151,-5675803.3098,-451414.5234,0.0639,0.0698,0.0199,
AMCR,21,120,2874244.4239,-5675803.2562,-451414.5349,0.0259,0.0333,0.0071,
AMCR,22,15,2874244.4835,-5675803.2423,-451414.4715,0.3512,0.3193,0.1299,
AMCR,22,30,2874244.4518,-5675803.2751,-451414.5070,0.1756,0.1662,0.0807,
AMCR,22,45,2874244.4179,-5675803.3079,-451414.5246,0.1046,0.0971,0.0479,
AMCR,22,60,2874244.4042,-5675803.3145,-451414.5399,0.0680,0.0664,0.0330,
AMCR,22,120,2874244.4043,-5675803.3257,-451414.5334,0.0307,0.0307,0.0085,
AMCR,23,15,2874244.3602,-5675803.4099,-451414.5374,0.4310,0.3880,0.2176,
AMCR,23,30,2874244.3530,-5675803.3022,-451414.5621,0.1868,0.1519,0.0965,
AMCR,23,45,2874244.4106,-5675803.2991,-451414.5594,0.1107,0.0749,0.0513,
AMCR,23,60,2874244.4301,-5675803.2815,-451414.5484,0.0695,0.0530,0.0302,
AMCR,23,120,2874244.4117,-5675803.2840,-451414.5408,0.0276,0.0353,0.0081,
AMCR,24,15,2874244.2181,-5675803.4055,-451414.5778,0.4452,0.4764,0.1191,
AMCR,24,30,2874244.3892,-5675803.3121,-451414.5638,0.1991,0.1882,0.0448,
AMCR,24,45,2874244.4221,-5675803.3063,-451414.5377,0.1167,0.0981,0.0245,
AMCR,24,60,2874244.4283,-5675803.2808,-451414.5340,0.0772,0.0683,0.0161,
AMCR,24,120,2874244.4129,-5675803.2610,-451414.5409,0.0283,0.0236,0.0078,
AMCR,25,15,2874244.3713,-5675803.2206,-451414.5323,0.3287,0.3117,0.1176,
AMCR,25,30,2874244.4380,-5675803.2439,-451414.5317,0.1343,0.1249,0.0467,
AMCR,25,45,2874244.4206,-5675803.2703,-451414.5272,0.0779,0.0699,0.0252,
AMCR,25,60,2874244.4163,-5675803.2718,-451414.5304,0.0529,0.0540,0.0166,
AMCR,25,120,2874244.4133,-5675803.2984,-451414.5383,0.0263,0.0214,0.0084,
AMCR,26,15,2874244.3566,-5675803.3524,-451414.5514,0.3664,0.3249,0.1181,
AMCR,26,30,2874244.4159,-5675803.3074,-451414.5349,0.1560,0.1296,0.0459,
AMCR,26,45,2874244.4159,-5675803.3090,-451414.5318,0.0868,0.0780,0.0254,
AMCR,26,60,2874244.4190,-5675803.3102,-451414.5373,0.0599,0.0611,0.0185,
AMCR,26,120,2874244.4208,-5675803.2993,-451414.5413,0.0224,0.0196,0.0078,
AMCR,27,15,2874244.4815,-5675803.1905,-451414.4956,0.3670,0.3406,0.1442,
AMCR,27,30,2874244.3996,-5675803.3073,-451414.5203,0.1437,0.1299,0.0536,
AMCR,27,45,2874244.3777,-5675803.2836,-451414.5295,0.0814,0.0842,0.0300,
AMCR,27,60,2874244.3741,-5675803.2832,-451414.5386,0.0565,0.0607,0.0235,
AMCR,27,120,2874244.4279,-5675803.2747,-451414.5408,0.0213,0.0187,0.0079,
AMCR,28,15,2874244.4659,-5675803.1910,-451414.4977,0.4030,0.3124,0.1755,
AMCR,28,30,2874244.3612,-5675803.2607,-451414.5588,0.1539,0.1259,0.0686,
AMCR,28,45,2874244.3825,-5675803.2632,-451414.5418,0.0879,0.0851,0.0374,
AMCR,28,60,2874244.3979,-5675803.2793,-451414.5397,0.0627,0.0618,0.0233,
AMCR,28,120,2874244.4456,-5675803.2943,-451414.5363,0.0245,0.0185,0.0064,
AMCR,29,15,2874244.4626,-5675803.4499,-451414.5487,0.4323,0.4232,0.1626,
AMCR,29,30,2874244.3657,-5675803.3727,-451414.5627,0.1734,0.1792,0.0650,
AMCR,29,45,2874244.4008,-5675803.3178,-451414.5452,0.0956,0.1171,0.0357,
AMCR,29,60,2874244.4695,-5675803.3298,-451414.5223,0.0625,0.0789,0.0226,
AMCR,29,120,2874244.4321,-5675803.2855,-451414.5406,0.0307,0.0370,0.0073,
AMCR,30,15,2874244.3050,-5675803.3387,-451414.5371,0.4301,0.4215,0.1876,
AMCR,30,30,2874244.3593,-5675803.3230,-451414.5493,0.1739,0.1842,0.0708,
AMCR,30,45,2874244.3766,-5675803.2983,-451414.5369,0.0972,0.1303,0.0368,
AMCR,30,60,2874244.4027,-5675803.2922,-451414.5335,0.0705,0.0976,0.0224,
AMCR,30,120,2874244.4182,-5675803.2783,-451414.5398,0.0439,0.0401,0.0075,
AMCR,182,15,2874244.3042,-5675803.1253,-451414.5159,0.2934,0.2378,0.0860,
AMCR,182,30,2874244.4106,-5675803.1660,-451414.5339,0.1139,0.1122,0.0338,
AMCR,182,45,2874244.3883,-5675803.2070,-451414.5223,0.0652,0.0744,0.0207,
AMCR,182,60,2874244.4051,-5675803.2118,-451414.5256,0.0456,0.0556,0.0149,
AMCR,182,120,2874244.4204,-5675803.2581,-451414.5173,0.0222,0.0231,0.0060,
AMCR,183,15,2874244.4022,-5675803.0695,-451414.5164,0.3165,0.3078,0.1140,
AMCR,183,30,2874244.4632,-5675803.1610,-451414.5157,0.1168,0.1329,0.0420,
AMCR,183,45,2874244.4434,-5675803.1888,-451414.5159,0.0654,0.0837,0.0238,
AMCR,183,60,2874244.4397,-5675803.1828,-451414.5257,0.0450,0.0607,0.0164,
AMCR,183,120,2874244.4389,-5675803.2355,-451414.5206,0.0201,0.0212,0.0055,
AMCR,184,15,2874244.3957,-5675803.0642,-451414.5687,0.2829,0.3825,0.1089,
AMCR,184,30,2874244.4124,-5675803.2024,-451414.5429,0.1062,0.1719,0.0408,
AMCR,184,45,2874244.4367,-5675803.1949,-451414.5315,0.0596,0.0998,0.0251,
AMCR,184,60,2874244.4229,-5675803.2287,-451414.5276,0.0421,0.0659,0.0175,
AMCR,184,120,2874244.4256,-5675803.2564,-451414.5181,0.0207,0.0234,0.0063,
AMCR,185,15,2874244.5317,-5675803.0434,-451414.5322,0.3561,0.3402,0.0900,
AMCR,185,30,2874244.1814,-5675803.3985,-451414.4690,0.1664,0.1522,0.0389,
AMCR,185,45,2874244.2313,-5675803.4541,-451414.4776,0.1180,0.1041,0.0275,
AMCR,185,60,2874244.3030,-5675803.5196,-451414.4642,0.0915,0.0839,0.0200,
AMCR,185,120,2874244.4337,-5675803.2758,-451414.5121,0.0331,0.0282,0.0069,
AMCR,186,15,2874244.4726,-5675803.1682,-451414.5231,0.3114,0.2736,0.1116,
AMCR,186,30,2874244.4084,-5675803.2394,-451414.5080,0.1270,0.1227,0.0425,
AMCR,186,45,2874244.4431,-5675803.2503,-451414.5170,0.0787,0.0798,0.0251,
AMCR,186,60,2874244.4196,-5675803.2811,-451414.5143,0.0538,0.0566,0.0168,
AMCR,186,120,2874244.4249,-5675803.2611,-451414.5225,0.0233,0.0222,0.0061,
AMCR,187,15,2874244.3457,-5675803.2500,-451414.5088,0.3370,0.3415,0.1225,
AMCR,187,30,2874244.4486,-5675803.2304,-451414.5100,0.1215,0.1482,0.0464,
AMCR,187,45,2874244.4536,-5675803.2225,-451414.5245,0.0685,0.0873,0.0258,
AMCR,187,60,2874244.4277,-5675803.2691,-451414.5150,0.0472,0.0577,0.0165,
AMCR,187,120,2874244.4159,-5675803.2637,-451414.5180,0.0172,0.0202,0.0060,
AMCR,188,15,2874244.3281,-5675803.3209,-451414.5069,0.2571,0.3292,0.0959,
AMCR,188,30,2874244.4094,-5675803.2410,-451414.5218,0.0967,0.1381,0.0351,
AMCR,188,45,2874244.4180,-5675803.2721,-451414.5111,0.0603,0.0826,0.0203,
AMCR,188,60,2874244.4104,-5675803.2679,-451414.5095,0.0449,0.0557,0.0135,
AMCR,188,120,2874244.4242,-5675803.2680,-451414.5133,0.0187,0.0200,0.0052,
AMCR,189,15,2874244.3178,-5675803.2017,-451414.5220,0.2544,0.2888,0.0877,
AMCR,189,30,2874244.4167,-5675803.1952,-451414.5278,0.0969,0.1319,0.0342,
AMCR,189,45,2874244.3886,-5675803.2542,-451414.5166,0.0595,0.0796,0.0196,
AMCR,189,60,2874244.4115,-5675803.2535,-451414.5177,0.0428,0.0523,0.0128,
AMCR,189,120,2874244.4140,-5675803.2597,-451414.5159,0.0192,0.0200,0.0053,
AMCR,190,15,2874244.4278,-5675803.1154,-451414.5449,0.3035,0.3037,0.0914,
AMCR,190,30,2874244.4631,-5675803.1908,-451414.5276,0.1238,0.1399,0.0356,
AMCR,190,45,2874244.3923,-5675803.2838,-451414.5147,0.0762,0.0838,0.0202,
AMCR,190,60,2874244.4193,-5675803.2517,-451414.5204,0.0524,0.0528,0.0131,
AMCR,190,120,2874244.4178,-5675803.2684,-451414.5135,0.0191,0.0188,0.0054,
AMCR,191,15,2874244.4717,-5675803.0042,-451414.5838,0.3213,0.3431,0.1095,
AMCR,191,30,2874244.4393,-5675803.2093,-451414.5331,0.1260,0.1521,0.0449,
AMCR,191,45,2874244.4032,-5675803.2629,-451414.5279,0.0789,0.0858,0.0261,
AMCR,191,60,2874244.4358,-5675803.2681,-451414.5254,0.0567,0.0536,0.0176,
AMCR,191,120,2874244.4315,-5675803.2687,-451414.5268,0.0182,0.0183,0.0078,
AMCR,192,15,2874244.4938,-5675802.9261,-451414.6089,0.2774,0.3629,0.1190,
AMCR,192,30,2874244.4076,-5675803.2973,-451414.5330,0.1119,0.1489,0.0468,
AMCR,192,45,2874244.4205,-5675803.2781,-451414.5259,0.0723,0.0840,0.0270,
AMCR,192,60,2874244.4402,-5675803.2709,-451414.5220,0.0514,0.0537,0.0182,
AMCR,192,120,2874244.4143,-5675803.2630,-451414.5222,0.0176,0.0195,0.0080,
AMCR,193,15,2874244.5229,-5675803.0851,-451414.5293,0.3053,0.3594,0.0830,
AMCR,193,30,2874244.3393,-5675803.3273,-451414.5124,0.1195,0.1494,0.0321,
AMCR,193,45,2874244.4291,-5675803.2663,-451414.5240,0.0737,0.0833,0.0188,
AMCR,193,60,2874244.4232,-5675803.2676,-451414.5230,0.0521,0.0522,0.0128,
AMCR,193,120,2874244.4079,-5675803.2565,-451414.5242,0.0222,0.0254,0.0055,
AMCR,194,15,2874244.2825,-5675803.2308,-451414.4867,0.2905,0.3381,0.0945,
AMCR,194,30,2874244.3288,-5675803.2299,-451414.5220,0.1144,0.1364,0.0365,
AMCR,194,45,2874244.3919,-5675803.2101,-451414.5206,0.0722,0.0686,0.0210,
AMCR,194,60,2874244.4166,-5675803.2088,-451414.5136,0.0520,0.0419,0.0142,
AMCR,194,120,2874244.3695,-5675803.2003,-451414.5224,0.0245,0.0199,0.0059,
AMCR,195,15,2874244.2766,-5675803.2901,-451414.5449,0.3198,0.3260,0.1075,
AMCR,195,30,2874244.3779,-5675803.2598,-451414.5250,0.1256,0.1282,0.0393,
AMCR,195,45,2874244.4015,-5675803.2492,-451414.5212,0.0737,0.0688,0.0221,
AMCR,195,60,2874244.4198,-5675803.2393,-451414.5171,0.0503,0.0461,0.0150,
AMCR,195,120,2874244.3952,-5675803.2285,-451414.5174,0.0221,0.0223,0.0065,
AMCR,196,15,2874244.3043,-5675803.2585,-451414.5097,0.3330,0.3353,0.0884,
AMCR,196,30,2874244.4694,-5675803.1967,-451414.5278,0.1260,0.1253,0.0321,
AMCR,196,45,2874244.4563,-5675803.2238,-451414.5232,0.0688,0.0614,0.0184,
AMCR,196,60,2874244.4587,-5675803.2326,-451414.5184,0.0444,0.0418,0.0133,
AMCR,196,120,2874244.4083,-5675803.2449,-451414.5221,0.0194,0.0237,0.0062,
AMCR,197,15,2874244.2913,-5675803.2455,-451414.5299,0.2670,0.2853,0.0816,
AMCR,197,30,2874244.4643,-5675803.2339,-451414.5239,0.1034,0.1038,0.0308,
AMCR,197,45,2874244.4398,-5675803.2752,-451414.5160,0.0597,0.0533,0.0179,
AMCR,197,60,2874244.4546,-5675803.2698,-451414.5147,0.0411,0.0381,0.0130,
AMCR,197,120,2874244.4168,-5675803.2612,-451414.5184,0.0189,0.0180,0.0057,
AMCR,198,15,2874244.3828,-5675803.1918,-451414.5278,0.3666,0.3492,0.0996,
AMCR,198,30,2874244.4219,-5675803.2247,-451414.5166,0.1304,0.1112,0.0348,
AMCR,198,45,2874244.4206,-5675803.2463,-451414.5168,0.0706,0.0601,0.0201,
AMCR,198,60,2874244.4537,-5675803.2357,-451414.5213,0.0452,0.0445,0.0152,
AMCR,198,120,2874244.4111,-5675803.2726,-451414.5199,0.0176,0.0200,0.0071,
AMCR,199,15,2874244.4344,-5675803.0368,-451414.5549,0.3014,0.2976,0.1133,
AMCR,199,30,2874244.4372,-5675803.2275,-451414.5277,0.1202,0.1048,0.0442,
AMCR,199,45,2874244.4628,-5675803.2631,-451414.5107,0.0680,0.0579,0.0279,
AMCR,199,60,2874244.4419,-5675803.2857,-451414.5106,0.0437,0.0398,0.0218,
AMCR,199,120,2874244.4155,-5675803.2899,-451414.5162,0.0171,0.0168,0.0083,
AMCR,200,15,2874244.4441,-5675803.1439,-451414.5361,0.3149,0.2993,0.0949,
AMCR,200,30,2874244.3227,-5675803.2695,-451414.5313,0.1165,0.1090,0.0366,
AMCR,200,45,2874244.4051,-5675803.2433,-451414.5294,0.0648,0.0640,0.0222,
AMCR,200,60,2874244.4278,-5675803.2370,-451414.5373,0.0428,0.0442,0.0159,
AMCR,200,120,2874244.4019,-5675803.2594,-451414.5298,0.0197,0.0197,0.0073,
AMCR,201,15,2874244.3434,-5675803.2149,-451414.5316,0.3756,0.3148,0.1037,
AMCR,201,30,2874244.3636,-5675803.2955,-451414.5115,0.1569,0.1221,0.0392,
AMCR,201,45,2874244.3826,-5675803.2407,-451414.5106,0.0992,0.0780,0.0231,
AMCR,201,60,2874244.4121,-5675803.2549,-451414.5134,0.0715,0.0562,0.0158,
AMCR,201,120,2874244.4222,-5675803.2756,-451414.5234,0.0239,0.0243,0.0072,
AMCR,202,15,2874244.2076,-5675803.2304,-451414.5709,0.3596,0.2572,0.0972,
AMCR,202,30,2874244.3369,-5675803.2610,-451414.5379,0.1536,0.0973,0.0386,
AMCR,202,45,2874244.3673,-5675803.2574,-451414.5351,0.0933,0.0617,0.0230,
AMCR,202,60,2874244.3608,-5675803.2462,-451414.5327,0.0649,0.0431,0.0156,
AMCR,202,120,2874244.3980,-5675803.2766,-451414.5299,0.0236,0.0211,0.0072,
AMCR,203,15,2874244.3156,-5675803.1650,-451414.5027,0.2767,0.2335,0.0941,
AMCR,203,30,2874244.4036,-5675803.2203,-451414.5159,0.1050,0.0944,0.0384,
AMCR,203,45,2874244.3885,-5675803.2546,-451414.5255,0.0610,0.0581,0.0231,
AMCR,203,60,2874244.4031,-5675803.2390,-451414.5186,0.0417,0.0393,0.0157,
AMCR,203,120,2874244.4109,-5675803.2717,-451414.5194,0.0193,0.0192,0.0073,
AMCR,204,15,2874244.3755,-5675803.3703,-451414.5190,0.3118,0.2380,0.0835,
AMCR,204,30,2874244.4993,-5675803.3679,-451414.5515,0.1114,0.0976,0.0360,
AMCR,204,45,2874244.4560,-5675803.3091,-451414.5427,0.0614,0.0541,0.0214,
AMCR,204,60,2874244.4216,-5675803.2953,-451414.5491,0.0418,0.0355,0.0147,
AMCR,204,120,2874244.4222,-5675803.2950,-451414.5345,0.0195,0.0186,0.0070,
AMCR,205,15,2874244.3201,-5675803.1928,-451414.5224,0.3677,0.2235,0.0938,
AMCR,205,30,2874244.4534,-5675803.2428,-451414.5255,0.1221,0.0941,0.0386,
AMCR,205,45,2874244.4091,-5675803.2559,-451414.5330,0.0667,0.0514,0.0225,
AMCR,205,60,2874244.3988,-5675803.2524,-451414.5353,0.0455,0.0347,0.0155,
AMCR,205,120,2874244.3994,-5675803.2757,-451414.5342,0.0201,0.0190,0.0071,
AMCR,206,15,2874244.4410,-5675803.1442,-451414.5603,0.2792,0.2415,0.0959,
AMCR,206,30,2874244.4121,-5675803.2516,-451414.5378,0.1052,0.1022,0.0405,
AMCR,206,45,2874244.4009,-5675803.2546,-451414.5366,0.0614,0.0568,0.0236,
AMCR,206,60,2874244.3999,-5675803.2655,-451414.5346,0.0440,0.0422,0.0164,
AMCR,206,120,2874244.4171,-5675803.2676,-451414.5277,0.0196,0.0195,0.0075,
AMCR,207,15,2874244.3875,-5675803.1204,-451414.5154,0.2943,0.2434,0.1050,
AMCR,207,30,2874244.4147,-5675803.2582,-451414.5473,0.1125,0.0911,0.0420,
AMCR,207,45,2874244.4039,-5675803.2797,-451414.5405,0.0665,0.0505,0.0246,
AMCR,207,60,2874244.4135,-5675803.2738,-451414.5347,0.0484,0.0357,0.0173,
AMCR,207,120,2874244.4268,-5675803.2731,-451414.5233,0.0205,0.0202,0.0080,
AMCR,208,15,2874244.3774,-5675803.0632,-451414.5049,0.2865,0.2529,0.1033,
AMCR,208,30,2874244.3774,-5675803.2058,-451414.5357,0.1114,0.1024,0.0421,
AMCR,208,45,2874244.3849,-5675803.2373,-451414.5358,0.0666,0.0608,0.0252,
AMCR,208,60,2874244.3904,-5675803.2491,-451414.5322,0.0498,0.0454,0.0184,
AMCR,208,120,2874244.4061,-5675803.2487,-451414.5235,0.0253,0.0224,0.0086,
AMCR,209,15,2874244.1518,-5675803.0740,-451414.4971,0.3427,0.3589,0.1122,
AMCR,209,30,2874244.2850,-5675803.1638,-451414.5390,0.1423,0.1546,0.0447,
AMCR,209,45,2874244.3437,-5675803.1931,-451414.5397,0.0847,0.0869,0.0260,
AMCR,209,60,2874244.3631,-5675803.2194,-451414.5370,0.0614,0.0601,0.0188,
AMCR,209,120,2874244.3969,-5675803.2650,-451414.5290,0.0267,0.0293,0.0089,
AMCR,210,15,2874244.1792,-5675803.1544,-451414.5132,0.3921,0.3391,0.1234,
AMCR,210,30,2874244.1781,-5675803.2344,-451414.5595,0.1604,0.1460,0.0480,
AMCR,210,45,2874244.2516,-5675803.2654,-451414.5494,0.0985,0.0869,0.0275,
AMCR,210,60,2874244.3337,-5675803.2546,-451414.5297,0.0686,0.0593,0.0196,
AMCR,210,120,2874244.4181,-5675803.2611,-451414.5189,0.0244,0.0275,0.0086,
AMCR,211,15,2874244.3181,-5675803.0272,-451414.5031,0.3536,0.3083,0.1111,
