estação,data,duração,X,Y,Z,sigmaX,sigmaY,sigmaZ,IAR,correlXY,correlXZ,correlYZ
AMCR,14,30,2874244.4719,-5675803.2329,-451414.5264,0.1368,0.2132,0.0527,,0.2730,0.3688,0.5905
AMCR,14,45,2874244.4491,-5675803.2477,-451414.5290,0.0873,0.1397,0.0385,,0.2488,0.4558,0.6739
AMCR,14,60,2874244.4431,-5675803.2781,-451414.5336,0.0675,0.1092,0.0353,,0.2507,0.4890,0.7551
AMCR,14,120,2874244.4170,-5675803.3248,-451414.5394,0.0365,0.0431,0.0139,,-0.0645,0.3557,0.3570
AMCR,15,15,2874244.5185,-5675803.0971,-451414.5504,0.4018,0.5326,0.1748,,0.5639,0.1759,0.2165
AMCR,15,30,2874244.5201,-5675803.2596,-451414.5524,0.1507,0.2066,0.0700,,0.5529,0.2100,0.4028
AMCR,15,45,2874244.4560,-5675803.2872,-451414.5437,0.0883,0.1150,0.0462,,0.4644,0.1961,0.4772
AMCR,15,60,2874244.4280,-5675803.3228,-451414.5490,0.0675,0.0772,0.0391,,0.2286,0.1148,0.5444
AMCR,15,120,2874244.4535,-5675803.2837,-451414.5320,0.0375,0.0362,0.0136,,-0.1924,0.1399,0.2121
AMCR,16,15,2874244.4358,-5675803.3049,-451414.5309,0.3761,0.5329,0.1549,,0.5661,-0.4240,-0.1136
AMCR,16,30,2874244.4807,-5675803.2560,-451414.5378,0.1528,0.2251,0.0594,,0.4752,-0.2752,0.1796
AMCR,16,45,2874244.4806,-5675803.2561,-451414.5378,0.1528,0.2251,0.0594,,0.4752,-0.2752,0.1796
AMCR,16,60,2874244.4768,-5675803.2506,-451414.5361,0.1300,0.1899,0.0525,,0.3782,-0.2333,0.2256
AMCR,16,120,2874244.4163,-5675803.2609,-451414.5331,0.0417,0.0435,0.0120,,0.3319,0.4497,0.0443
AMCR,17,15,2874244.4293,-5675803.2647,-451414.5406,0.2875,0.2840,0.1057,,0.4998,0.2265,0.5369
AMCR,17,30,2874244.4154,-5675803.2695,-451414.5382,0.1134,0.1149,0.0466,,0.3509,0.2073,0.6342
AMCR,17,45,2874244.3932,-5675803.3220,-451414.5481,0.0717,0.0698,0.0299,,0.1214,0.1525,0.6603
AMCR,17,60,2874244.4106,-5675803.3128,-451414.5424,0.0526,0.0506,0.0226,,-0.0744,0.1354,0.5675
